Player Name,Matchup,Market,Odds
J. Addison,@ JAX,Over 5.5 1Q Rec Yds,-110
J. Addison,@ JAX,Over 5.5 1Q Rec Yds,-110
B. Mayfield,VS SF,Over 23.5 Pass Compl,-110
B. Mayfield,VS SF,Over 263.5 Pass + Rush Yds,-115
R. White,VS SF,Over 21.5 Rush Yds,-115
R. White,VS SF,Over 21.5 Rush Yds,-115
R. White,VS SF,Over 25.5 Rec Yds,-115
R. White,VS SF,Over 3.5 Receptions,-135
R. White,VS SF,Over 3.5 Receptions,-135
R. White,VS SF,Over 51.5 Rush + Rec Yds,-115
R. White,VS SF,Over 51.5 Rush + Rec Yds,-115
B. Irving,VS SF,Over 11.5 Rec Yds,-120
B. Irving,VS SF,Over 45.5 Rush + Rec Yds,-115
C. Otton,VS SF,Over 5.5 Receptions,-150
C. Otton,VS SF,Over 5.5 Receptions,-150
C. Otton,VS SF,Under 56.5 Rec Yds,-115
G. Kittle,@ TB,Over 58.5 Rec Yds,-115
J. Jennings,@ TB,Under 40.5 Rush + Rec Yds,-115
J. Jennings,@ TB,Under 40.5 Rush + Rec Yds,-115
J. Jennings,@ TB,Under 40.5 Rec Yds,-120
J. Jennings,@ TB,Under 40.5 Rec Yds,-120
J. Jennings,@ TB,Under 3.5 Receptions,-155
J. Jennings,@ TB,Under 3.5 Receptions,-155
D. Samuel,@ TB,Over 57.5 Rec Yds,-115
D. Samuel,@ TB,Over 57.5 Rec Yds,-115
B. Purdy,@ TB,Over 13.5 Rush Yds,-120
B. Purdy,@ TB,Over 13.5 Rush Yds,-120
J. Johnson,VS ATL,Over 29.5 Rec Yds,-110
M. Tipton,VS ATL,Under 28.5 Rec Yds,-115
F. Moreau,VS ATL,Over 11.5 Rec Yds,-110
D. Carr,VS ATL,Over 1.5 Rush Att,-120
D. Carr,VS ATL,Over 2.5 Rush Yds,-120
D. Carr,VS ATL,Over 2.5 Rush Yds,-120
D. Carr,VS ATL,Over 197.5 Pass Yds,-115
D. Carr,VS ATL,Over 18.5 Pass Compl,-120
D. Carr,VS ATL,Over 202.5 Pass + Rush Yds,-115
A. Kamara,VS ATL,Over 5.5 Receptions,+120
A. Kamara,VS ATL,Over 39.5 Rec Yds,-110
A. Kamara,VS ATL,Over 39.5 Rec Yds,-110
K. Cousins,@ NO,Over 232.5 Pass Yds,-115
K. Cousins,@ NO,Under 32.5 Pass Att,-130
B. Robinson,@ NO,Under 78.5 Rush Yds,-115
J. Watson,VS DEN,Over 16.5 Rush + Rec Yds,-110
J. Watson,VS DEN,Over 16.5 Rush + Rec Yds,-110
J. Williams,@ KC,Over 37.5 Rush Yds,-115
J. Williams,@ KC,Over 37.5 Rush Yds,-115
J. Williams,@ KC,Over 37.5 Rush Yds,-115
D. Kincaid,@ IND,Under 49.5 Rec Yds,-120
J. Cook,@ IND,Over 16.5 Rec Yds,-115
J. Cook,@ IND,Over 16.5 Rec Yds,-115
J. Cook,@ IND,Over 83.5 Rush + Rec Yds,-115
Z. Ertz,VS PIT,Over 33.5 Rec Yds,-115
R. Wilson,@ WAS,Over 17.5 Pass Compl,-135
R. Wilson,@ WAS,Over 28.5 Pass Att,-125
R. Wilson,@ WAS,Over 229.5 Pass + Rush Yds,-115
C. Williams,VS NE,Under 240.5 Pass + Rush Yds,-114
R. Stevenson,@ CHI,Under 49.5 Rush Yds,-114
R. Stevenson,@ CHI,Under 74.5 Rush + Rec Yds,-120
D. Maye,@ CHI,Over 200.5 Pass Yds,-114
D. Maye,@ CHI,Over 30.5 Pass Att,-115
D. Maye,@ CHI,Over 18.5 Pass Compl,-125
D. Maye,@ CHI,Over 233.5 Pass + Rush Yds,-114
C. Dicker,VS TEN,Under 2.5 XPM,-200
J. Herbert,VS TEN,Over 1.5 Pass TD,+136
J. Herbert,VS TEN,Under 0.5 Int,-150
N. Folk,@ LAC,Over 1.5 XPM,+130
L. McConkey,VS TEN,Over 0.5 Anytime TD,+145
J. Dobbins,VS TEN,Over 0.5 Anytime TD,-150
N. Westbrook-Ikhine,@ LAC,Over 0.5 Anytime TD,+390
N. Westbrook-Ikhine,@ LAC,Over 0.5 Anytime TD,+390
T. Pollard,@ LAC,Over 64.5 Rush Yds,-110
L. McConkey,VS TEN,Over 54.5 Rec Yds,-114
L. McConkey,VS TEN,Over 54.5 Rec Yds,-114
J. Palmer,VS TEN,Over 2.5 Receptions,+108
C. Ridley,@ LAC,Over 58.5 Rec Yds,-114
W. Dissly,VS TEN,Over 21.5 Rec Yds,-114
L. McConkey,VS TEN,Over 58.5 Rush + Rec Yds,-110
L. McConkey,VS TEN,Over 58.5 Rush + Rec Yds,-110
J. Palmer,VS TEN,Over 27.5 Rec Yds,-114
J. Palmer,VS TEN,Over 27.5 Rec Yds,-114
J. Palmer,VS TEN,Over 28.5 Rush + Rec Yds,-115
J. Palmer,VS TEN,Over 28.5 Rush + Rec Yds,-115
J. Herbert,VS TEN,Over 230.5 Pass Yds,-114
J. Herbert,VS TEN,Over 230.5 Pass Yds,-114
J. Herbert,VS TEN,Over 19.5 Pass Compl,-118
J. Herbert,VS TEN,Over 30.5 Pass Att,-128
C. Okonkwo,@ LAC,Over 21.5 Rec Yds,-120
C. Okonkwo,@ LAC,Over 2.5 Receptions,-125
N. Westbrook-Ikhine,@ LAC,Under 28.5 Rec Yds,-114
